Date,ndvi,savi,ndre,District Name,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2020-05-03,0.2985,0.1965,0.1775,Ambala,11.8,29.54,34.94,23.94,118.26
2020-05-10,0.179,0.1245,0.0985,Ambala,5.45,30.05,36.19,23.83,47.11
2020-05-17,0.21100000000000002,0.1515,0.1225,Ambala,0.0,30.11,36.91,22.41,146.06
2020-05-24,0.3025,0.197,0.182,Ambala,0.14,35.36,42.34,26.67,148.87
2020-05-31,,,,Ambala,21.21,27.47,32.69,22.96,71.3
2020-06-07,0.3375,0.21400000000000002,0.1975,Ambala,7.48,29.97,33.28,23.55,88.84
2020-06-14,0.304,0.19725,0.1855,Ambala,1.73,34.65,39.65,26.87,138.23
2020-06-21,0.261,0.177,0.17049999999999998,Ambala,3.75,33.99,37.63,27.08,138.83
2020-06-28,0.24233333333333337,0.16333333333333333,0.14,Ambala,0.01,36.15,41.15,28.91,133.8
2020-07-05,0.234,0.156,0.125,Ambala,16.86,30.86,34.89,26.04,140.62
2020-07-12,,,,Ambala,28.72,30.15,32.84,25.76,131.13
2020-07-19,0.4245,0.271,0.236,Ambala,1.51,31.33,35.14,26.75,101.39
2020-07-26,0.356,0.236,0.2175,Ambala,14.3,29.45,32.37,24.84,111.56
2020-08-02,0.4435,0.3155,0.3105,Ambala,2.5,28.63,32.69,25.24,119.02
2020-08-09,0.434,0.321,0.29,Ambala,16.63,30.09,33.4,26.77,65.58
2020-08-16,,,,Ambala,5.34,28.67,31.95,24.92,75.32
2020-08-23,,,,Ambala,3.79,27.1,31.06,23.94,113.77
2020-08-30,,,,Ambala,5.84,26.69,30.24,23.88,82.94
2020-09-06,,,,Ambala,4.63,26.9,30.38,24.29,73.34
2020-09-13,0.6345000000000001,0.40449999999999997,0.4375,Ambala,0.38,27.62,32.58,23.84,92.52
2020-09-20,0.465,0.312,0.318,Ambala,0.0,27.48,33.7,22.28,111.37
2020-09-27,0.6423333333333333,0.41333333333333333,0.42566666666666664,Ambala,0.0,26.12,33.97,20.6,116.67
2020-10-04,0.625,0.3985,0.403,Ambala,0.0,25.7,33.63,21.29,113.37
2020-10-11,0.5215,0.32775,0.33675,Ambala,0.0,25.92,34.87,21.19,107.13
2020-10-18,0.40149999999999997,0.249,0.26849999999999996,Ambala,0.0,23.55,33.04,18.53,103.59
2020-10-25,0.38,0.2315,0.253,Ambala,0.0,21.65,31.39,17.44,91.98
2020-11-01,0.3605,0.21475,0.23525000000000001,Ambala,0.0,20.71,29.55,16.19,84.8
2020-11-08,0.33599999999999997,0.2015,0.2305,Ambala,0.0,18.24,28.37,14.61,82.48
2020-11-15,0.303,0.18766666666666665,0.19999999999999998,Ambala,9.33,19.79,27.33,15.45,52.49
2020-11-22,0.3775,0.229,0.2495,Ambala,0.0,13.82,23.66,8.8,73.29
2020-11-29,,,,Ambala,0.0,15.43,24.86,11.98,58.66
2020-12-06,0.367,0.21975,0.23800000000000002,Ambala,0.0,17.32,25.9,13.44,65.78
2020-12-13,0.4205,0.2425,0.2665,Ambala,0.01,13.16,20.83,8.34,53.99
2020-12-20,0.31074999999999997,0.20375,0.21275,Ambala,0.0,12.8,23.91,7.48,62.75
2020-12-27,0.477,0.291,0.319,Ambala,2.89,12.11,21.0,9.45,60.4
2021-01-03,,,,Ambala,1.25,13.93,19.13,12.19,30.5
2021-01-10,0.476,0.299,0.326,Ambala,0.0,13.54,21.12,8.97,53.19
2021-01-17,0.436,0.302,0.324,Ambala,0.0,10.05,19.67,6.23,61.22
2021-01-24,0.577,0.353,0.40249999999999997,Ambala,0.13,11.53,20.28,8.52,61.45
2021-01-31,,,,Ambala,0.0,12.26,22.85,6.81,83.29
2021-02-07,0.211,0.137,0.142,Ambala,0.0,13.51,23.03,7.23,91.16
2021-02-14,0.6535,0.4,0.46,Ambala,0.0,17.11,25.58,13.12,74.45
2021-02-21,0.6645000000000001,0.401,0.473,Ambala,0.0,17.74,26.78,11.48,91.8
2021-02-28,0.5740000000000001,0.37124999999999997,0.42575,Ambala,0.0,20.11,28.51,13.64,107.77
2021-03-07,0.6875,0.42600000000000005,0.5055000000000001,Ambala,0.85,23.54,32.06,16.59,72.86
2021-03-14,,,,Ambala,0.0,23.2,30.82,17.43,112.64
2021-03-21,0.5609999999999999,0.34725,0.3805,Ambala,0.12,26.37,34.43,18.26,99.2
2021-03-28,0.523,0.322,0.351,Ambala,0.03,27.8,36.19,19.05,116.8
2021-04-04,0.3815,0.23475000000000001,0.246,Ambala,0.0,24.82,35.38,16.12,129.91
2021-04-11,0.356,0.22449999999999998,0.2115,Ambala,0.0,28.95,37.51,19.67,133.92
2021-04-18,,,,Ambala,0.56,28.07,34.8,19.87,122.48
2021-04-25,0.2385,0.1645,0.149,Ambala,0.04,26.65,36.46,17.15,150.18
